Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.35,Scholastic Press,Hardcover,374,2008,2008,,2012/09/01,,,read,,,,,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",David McDuff,"=""0143058142""","=""9780143058144""",4,4.17,Penguin,Paperback,545,2002,1866,,2012/09/01,,,read,,,,,,,0,,,,,
1852,The Call of the Wild,Jack London,"London, Jack",,"=""0439227143""","=""9780439227148""",4,3.82,Scholastic,Paperback,172,2001,1903,,2012/09/01,,,read,,,,,,,0,,,,,
84981,Tuck Everlasting,Natalie Babbitt,"Babbitt, Natalie",,"=""0374480095""","=""9780374480097""",3,3.85,Farrar Straus Giroux,Paperback,139,1985,1975,,2012/09/01,,,read,,,,,,,0,,,,,
10917,My Sister's Keeper,Jodi Picoult,"Picoult, Jodi",,"=""0743454537""","=""9780743454537""",4,4.05,Washington Square Press,Paperback,423,2005,2004,,2012/09/01,,,read,,,,,,,0,,,,,
270805,"Impulse (Impulse, #1)",Ellen Hopkins,"Hopkins, Ellen",,"=""1416903569""","=""9781416903567""",4,4.29,Margaret K. McElderry Books,Hardcover,666,2007,2007,,2012/09/01,,,read,,,,,,,0,,,,,
5152478,Wintergirls,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""067001110X""","=""9780670011100""",0,3.99,Viking Books for Young Readers,Hardcover,278,2009,2009,,2012/09/01,to-read,to-read (#3),to-read,,,,,,,0,,,,,
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0061148512""","=""9780061148514""",3,3.97,Harper Perennial,Paperback,244,2006,1963,,2012/09/01,,,read,,,,,,,0,,,,,
248704,It's Kind of a Funny Story,Ned Vizzini,"Vizzini, Ned",,"=""078685197X""","=""9780786851973""",4,4.14,Miramax,Paperback,444,2007,2006,,2012/09/01,,,read,,,,,,,0,,,,,
439288,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""014131088X""","=""9780141310886""",3,3.99,Puffin,Paperback,198,2001,1999,,2012/09/01,,,read,,,,,,,0,,,,,
